massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row40	586.3172944	208.2968545	7.17e-05	7.4634	
row41	598.3015457	76.76184568	7.21e-05	7.4581	
row42	239.2016422	219.714138	7.24e-05	7.4531	
row43	498.2642136	193.9578848	7.43e-05	7.4267	
row44	244.0228737	21.94226407	8.69e-05	7.264	
row45	273.1860709	188.2324687	9.11e-05	7.2149	
row46	464.2789425	203.2076341	9.19e-05	7.2063	
row47	352.9970861	34.15422641	0.00010506	7.0701	
row48	805.7769759	22.14992481	0.00011421	-6.9862	
row49	367.0569651	25.73736076	0.00011538	6.9759	
row50	682.2972176	113.2746286	0.00012129	6.9262	
row51	628.3618918	254.8677211	0.00014538	6.7478	
row52	555.7736551	23.53403992	0.00016091	-6.6494	
row53	660.3155242	114.2152405	0.00016672	6.6153	
row54	638.3303879	150.5816086	0.00017136	6.5889	
row55	299.0689456	25.89421413	0.00017178	6.5865	
row56	276.2050449	209.9613336	0.00018013	6.5412	
row57	475.2892535	183.1522038	0.00019053	-6.4878	
row58	278.2207052	225.4132152	0.00019374	6.472	
row59	136.0403757	40.59815057	0.00021063	6.3933	
row60	249.0512468	25.37768584	0.00021122	6.3907	
row61	1249.049913	26.73497202	0.00023587	6.2878	
row62	268.98336	24.34240464	0.0002633	6.1864	
row63	157.0367566	24.55305881	0.00028859	6.1028	
row64	387.1152319	31.81941515	0.00029677	6.0774	
row65	130.0873899	24.99115094	0.00029926	6.0699	
row66	327.2539945	256.1035453	0.000308	6.0439	
row67	736.762483	26.85392657	0.00031207	-6.032	
row68	325.2383039	239.1470638	0.0003292	5.984	
row69	409.2509759	233.0185607	0.00033417	-5.9706	
row70	182.0669986	25.25785792	0.00038313	5.8492	
row71	850.5446039	228.9467408	0.0003854	-5.844	
row72	279.2330236	241.4667126	0.00041523	5.7785	
row73	599.3220626	179.4731962	0.00043994	5.728	
row74	268.2363962	244.9422279	0.00044077	5.7264	
row75	387.0007859	235.2479912	0.00050437	-5.6099	
row76	225.1860599	201.5959674	0.00051016	5.6001	
row77	128.0353529	23.20356828	0.00055748	5.5244	
row78	135.0300713	38.36337711	0.00061442	5.4421	
row79	763.49255	249.8539827	0.00061484	5.4415	
row80	389.1590743	206.2206732	0.00064343	-5.4034	
row81	313.2383995	208.3884361	0.00066223	5.3793	
row82	285.2676279	285.6899765	0.00066788	-5.3722	
row83	230.9911202	25.96109934	0.00067257	5.3663	
row84	390.1624008	204.5950687	0.00067439	-5.3641	
row85	348.2260744	222.2108426	0.00069012	5.3448	
row86	181.0638058	25.29864083	0.00069198	5.3426	
row87	277.217386	224.8547356	0.00070468	5.3275	
row88	370.2960654	232.3367941	0.00070537	5.3266	
row89	599.3023959	76.6482526	0.00074273	5.2839	
row90	203.0827764	25.17815492	0.00076567	5.2587	
row91	300.0875898	71.70091336	0.00077929	-5.2442	
row92	387.0007861	234.452009	0.00078433	-5.2389	
row93	856.5101249	224.6356533	0.00079782	5.2249	
row94	254.2126513	192.3919048	0.00081456	5.2078	
row95	387.000785	236.0215671	0.00086109	-5.1624	
row96	387.0007873	232.7257595	0.00086109	-5.1624	
row97	341.0119511	25.92164152	0.00087714	5.1474	
row98	115.0036865	27.55923006	0.00092107	5.1077	
row99	280.2363594	235.4728329	0.00097156	5.0645	
row100	267.23296	244.089631	0.00097545	5.0613	
row101	307.2644635	263.2464121	0.00099402	5.0461	
row102	215.1652476	64.46488097	0.0010004	-5.041	
row103	343.1703821	211.4097212	0.0010301	5.0175	
row104	662.3214428	114.3437196	0.0010312	5.0167	
row105	281.3356922	256.602881	0.0010391	5.0105	
row106	575.7836267	22.90308197	0.0010652	-4.9907	
