"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"103.823462142283/47.8503243656585",0.0084527,0.015916,0.033385,-0.038142,-0.0037436,0.030757,0.0063705,-0.0099583,-0.027748,0.00779
"104.030293595403/181.880629009903",-0.031411,-0.011748,0.0064384,0.0043133,-0.0036926,0.0052021,0.017137,0.010765,0.010048,0.0089275
"104.070605506448/55.6939598340273",-0.026963,0.018323,0.016217,-0.011623,0.022192,0.002282,-0.012398,-0.0073656,0.0081227,-0.0064269
"104.087278734297/44.6433827881895",-0.0029412,0.030366,-0.006608,0.013595,0.010121,-0.017745,0.0010552,0.044635,-0.040787,0.0004018
"104.100420338404/48.6476196127068",0.0045173,0.0014835,0.053745,-0.023228,0.018903,0.019575,-0.0018661,-0.011094,0.0092449,-0.0078823
"104.106970895819/46.4866792811117",-0.024067,0.023222,0.015622,-0.0068408,-0.019334,0.0010296,0.027852,0.0040867,-0.0038708,0.00038165
"104.113605477794/46.7997392767219",0.0059311,0.0079639,0.041038,-0.033687,0.015792,0.031323,0.0066913,-0.025143,-0.0073632,0.0042273
"104.115778336196/53.2976217682619",-0.010384,-0.0061485,0.013185,0.030882,0.055116,0.016502,-0.017407,0.0052353,-0.0026213,0.0034272
"104.126542630331/44.8036730187381",-0.0047453,0.024776,-0.026772,0.01862,0.0092706,-0.0079747,0.0022936,0.053398,-0.021386,-0.0049331
"104.391619412799/47.4895869655694",0.0099145,0.012985,0.038112,-0.036097,-0.0025501,0.028135,0.0070825,-0.0087107,-0.025925,0.0083467
"104.528881682026/134.313233512055",-0.030768,0.012311,0.0052483,0.0084589,0.0218,-0.0048652,-0.0052034,0.00054569,0.00085551,0.0041545
"105.09740999037/46.4188100658652",-0.0032351,0.02866,-0.019142,-0.0037022,-0.0086166,-0.013952,-0.050164,-0.0090341,-0.029991,0.0027132
"105.11029137541/44.4084864086832",-0.012439,0.041442,0.0070639,-0.0083687,-0.012794,0.0067701,0.0078056,-4.1914e-05,-0.0073155,0.013033
"105.981450263873/136.302897758677",-0.027892,-0.016695,-0.022553,-0.010331,-0.014144,-0.0069826,-0.0041468,-0.0050339,0.0068162,0.0047738
"106.049871576931/88.170915040773",-0.030208,0.019837,-0.007279,-0.0076893,0.0034178,-0.0046441,-0.0039539,-0.0028243,0.0046481,-0.0021647
"106.11366224834/53.5015718475362",-0.0129,0.022903,-0.037856,0.021787,-0.017113,-0.011803,0.023742,0.0079395,0.0015856,0.0008201
"106.114979793526/46.0880831471246",0.02162,-0.030039,0.015709,0.015605,-0.0056234,0.00033481,-0.01669,-0.015146,-0.0012999,0.0058286
"107.053029503591/70.9652454278692",-0.021847,-0.022864,0.0068564,-0.015129,-0.035716,-0.015718,-0.00488,-0.0092245,0.0015963,0.0028683
"108.410497981272/125.788617319845",0.013868,-0.018544,-0.025325,0.035884,-0.027271,0.016553,0.0083094,0.01204,0.021925,0.0056205
"108.721765423798/28.0910071902401",-0.018262,0.0096281,-0.033618,0.036948,-0.011949,-0.0076944,-0.012145,0.021905,0.0066198,-0.0017422
"109.028454965976/216.552433354053",0.011308,0.0387,0.013128,0.0094632,0.018015,0.00053369,-0.001055,0.023729,-0.0081859,-0.0064862
"109.033792018892/163.132591472405",-0.0067867,-0.0095955,0.0044025,0.058023,0.0032914,0.038635,-0.00038979,0.0015888,0.013165,-0.0031707
"109.063342377175/52.9563285126645",-0.022487,0.031371,-0.012105,0.0055869,-0.016346,-0.0058773,0.0011609,-0.0070438,-0.0089275,0.00065145
"109.987378030637/111.516573744964",0.011804,0.0063752,0.012131,-0.018483,-0.016662,0.023176,0.0097166,0.059449,-0.035356,-0.008601
"110.030017115027/110.747643914142",0.01217,0.016557,-0.015775,0.027172,-0.010709,-0.015743,-0.01244,0.026123,-0.056591,0.0049588
"110.071295164999/95.3028574848839",-0.017779,0.038144,0.0059861,0.0053795,-0.012644,-0.0062287,0.0047406,0.0069379,0.0022851,-0.01131
"110.296202255923/103.956522368146",0.019239,-0.01614,0.020706,0.005199,0.02972,0.0097586,-0.037847,-0.014332,0.017955,-0.0048488
"110.975373718024/132.177219436534",-0.031067,-0.010479,-0.011316,-0.0045678,-0.0035207,0.010626,0.019601,-0.0081572,-0.0026759,-0.00052954
"111.039128116575/207.902735076389",0.0047312,-0.001929,0.037341,0.012844,-0.0046702,0.0057854,-0.056363,0.012636,-0.031428,0.0024688
"111.091691899575/224.258551127217",-0.016203,-0.01446,0.045135,-0.016929,0.011404,0.01856,0.013823,0.0047852,0.0057838,2.4097e-05
"111.091708797708/82.4544725242446",-0.015309,-0.022011,0.043492,-0.016099,0.011197,0.0068146,-0.0063105,-0.0067263,0.0098172,-0.003144
"111.536754006781/187.056842380584",-0.030465,-0.0073088,-0.0098631,0.0097934,0.021194,-0.01139,0.0023856,-0.014172,-0.0055001,-0.01003
"111.536754659956/138.024150612588",-0.030381,-0.01011,0.011092,-0.0082385,0.019795,-0.012034,0.00024552,-0.0022326,0.012919,-0.012115
"111.54078524358/201.234939266756",-0.0094049,-0.013729,0.013975,0.013553,-0.0076463,0.057984,-0.026777,-0.017672,-0.021893,-0.011056
"111.580629978519/26.5416737518384",-0.010047,-0.0014011,0.0070078,0.037054,-0.018969,0.0471,0.017324,-0.03529,0.0051531,0.018382
"112.041022289029/179.446360147",0.02536,0.028853,0.00068447,0.0031367,0.013878,0.0011813,0.0067041,0.012647,0.00087327,-0.007924
"112.061882148283/211.461234847065",-0.028555,-0.015337,-0.013293,0.010712,-0.0013098,-0.010142,0.026813,0.00032241,0.0072119,4.0699e-05
"112.08687611214/87.2224913025398",-0.0021835,0.041923,-0.019634,0.0010281,0.013484,-0.0015551,0.0039014,0.020661,0.0014055,-0.001849
"112.112047962421/169.117548047282",0.026191,0.0045129,-0.008776,0.0049148,-0.012732,-0.010417,0.015602,0.0095487,0.049547,0.011628
"112.112052020616/242.366720547949",0.031641,0.011379,-0.0022257,-0.005469,-0.0015844,0.0072042,-0.0017343,0.022095,0.002974,0.0088477
"112.519584117575/102.085182613182",-0.020043,0.00081974,0.034656,-0.026269,0.025396,0.016629,0.0012005,-0.020147,-0.004523,-0.0068602
"112.542645087026/174.610668826712",0.017649,0.038272,-0.0083269,0.0020447,0.012051,-0.0023129,0.0037782,0.0096101,0.00059907,-0.0051622
"112.558596128196/26.730792268916",0.0022788,0.0016987,0.0055075,-0.0050322,0.023187,0.025229,0.035975,-0.016943,0.069374,0.012664
"112.887333262585/102.159704764737",-0.0027162,-0.033295,0.022368,0.0071915,0.014801,0.029407,-0.029706,-0.013451,-0.012847,0.0027626
"112.986687548174/123.738807286586",-0.0098235,0.0093043,0.048813,-6.6318e-05,-0.023986,-0.0062005,0.033365,0.0063081,-0.0052782,0.0023014
"112.99099105703/126.151591430388",0.0096784,0.015566,0.04609,-0.0095261,0.0043922,0.027625,-0.0057115,0.015051,0.02926,0.00093765
"113.009574772099/110.495417751472",0.0070698,-0.0007349,0.038938,0.0013479,0.032792,-0.01462,0.020241,0.04137,-0.022516,-0.0077225
"113.030973560055/142.879388456988",-0.023498,-0.00052049,0.0059179,0.013128,0.030523,-0.0012005,-0.0084205,-0.0058857,0.050479,-0.0064042
"113.034712894658/38.1202193531383",-0.026012,0.029426,-0.0015196,-0.005349,-0.0027587,-0.0086064,0.0026782,-0.003038,-0.00093109,0.0026079
"113.038848627448/172.355601108149",0.016726,0.038611,-0.0020002,0.003159,0.014603,-0.00023416,0.0014802,0.015704,0.0010459,-0.005728
"113.107288582215/240.91143697271",-0.013544,-0.0059135,-0.0035294,-0.0026399,-0.010291,0.025041,-0.048391,0.046574,-0.026654,-0.00076504
"113.115389228322/260.739056238353",0.020233,0.023105,0.0031687,0.0055027,0.029221,0.031357,0.015443,0.017654,-0.0028377,0.0056307
"113.115395785878/206.702359303957",0.031656,0.012936,0.0044958,-0.0090559,0.0084402,0.013099,0.002231,-0.00091017,0.0012524,0.011498
"113.115420087671/161.208853471939",0.027189,0.010869,-0.0042067,-0.020958,-0.032179,0.010183,0.0022063,0.0031766,0.0086652,0.0028107
"113.132459820629/26.5374015377689",-0.02179,-0.032006,-0.0050516,0.015709,-0.0028677,-0.00052125,-0.00019853,0.015453,0.017543,0.006391
"113.533248792909/136.583536362907",-0.03111,0.0068137,0.0059152,0.0084831,0.023371,-0.0064779,-0.0043867,0.0072002,-0.0073942,0.005387
"113.963726986453/62.361862843321",-0.022363,-0.016441,0.024005,0.026894,0.018888,-0.011698,-0.00061415,-0.023478,-0.0039062,0.0019458
"113.999048198001/127.042866062891",0.009677,0.0077263,0.051293,-0.018596,0.012467,-0.022742,-0.011782,-0.0154,-0.0061292,0.017424
"114.066210837522/248.282989685004",-0.016469,-0.0093233,-0.033341,0.016186,0.023875,-0.025524,-0.00704,-0.0017189,0.039398,-0.0051218
"114.217742351988/40.7116566571573",-0.01294,-0.01591,-0.00036578,0.038257,0.033105,-0.017722,-0.0194,0.0046158,-0.035366,-0.0029494
"114.497404587913/135.922614750953",-0.017978,-0.0048587,0.030629,-0.002758,0.034528,0.020732,-0.010694,-0.006957,0.0372,0.0046788
"114.553790538135/101.793707744911",0.015448,0.010439,0.026097,-0.022433,0.018387,-0.048764,-0.0049373,-0.013676,0.0040158,-0.0079133
"115.011465237929/108.312666644222",-0.0023286,-0.020267,0.045235,0.00063464,0.011945,0.0034854,-0.019309,-0.024888,-0.033868,-0.006596
"115.063256112097/38.6622186340873",0.010201,-0.011688,-0.0039877,-0.045023,-0.0071337,-0.014165,0.042202,-0.033862,0.007234,-0.013733
