"","V","p.value","-log10(p)","FDR"
"87.0998190298869/49.3901706090967",25,0.0079365,2.1004,0.1033
"88.0631080950494/86.3797876479539",25,0.0079365,2.1004,0.1033
"89.0419381996243/76.1821534478647",25,0.0079365,2.1004,0.1033
"89.1073323927723/84.3218351874602",25,0.0079365,2.1004,0.1033
"90.0549902934047/68.2822564651166",25,0.0079365,2.1004,0.1033
"103.054228202735/50.1027522432094",25,0.0079365,2.1004,0.1033
"103.123271149075/34.2081422168367",25,0.0079365,2.1004,0.1033
"104.070605506448/55.6939598340273",25,0.0079365,2.1004,0.1033
"105.11029137541/44.4084864086832",25,0.0079365,2.1004,0.1033
"106.049871576931/88.170915040773",25,0.0079365,2.1004,0.1033
"109.063342377175/52.9563285126645",25,0.0079365,2.1004,0.1033
"110.071295164999/95.3028574848839",25,0.0079365,2.1004,0.1033
"112.08687611214/87.2224913025398",25,0.0079365,2.1004,0.1033
"116.034234335138/84.8914695953819",25,0.0079365,2.1004,0.1033
"118.062520806163/63.1697704457412",25,0.0079365,2.1004,0.1033
"118.086220911812/64.4970233506679",25,0.0079365,2.1004,0.1033
"118.1098487204/56.3463174514717",25,0.0079365,2.1004,0.1033
"119.089671060396/52.6887138697839",25,0.0079365,2.1004,0.1033
"120.044394838938/31.3117896929622",25,0.0079365,2.1004,0.1033
"120.065569248837/64.0091291918488",25,0.0079365,2.1004,0.1033
"120.080811130712/52.9447904954522",25,0.0079365,2.1004,0.1033
"120.090512887998/63.2379041018179",25,0.0079365,2.1004,0.1033
"121.047648837508/36.2985517881303",25,0.0079365,2.1004,0.1033
"121.084155081595/46.9712340515778",25,0.0079365,2.1004,0.1033
"123.044068912117/64.2117539522898",25,0.0079365,2.1004,0.1033
"124.039365343756/46.3405046741807",25,0.0079365,2.1004,0.1033
"125.042686039455/35.6377830694489",25,0.0079365,2.1004,0.1033
"129.138598920783/253.49583007581",0,0.0079365,2.1004,0.1033
"130.049924404657/73.7879974534633",25,0.0079365,2.1004,0.1033
"131.053272580019/81.5567635053217",25,0.0079365,2.1004,0.1033
"131.117881263879/41.0427384497766",25,0.0079365,2.1004,0.1033
"132.101958094343/46.7839351403457",25,0.0079365,2.1004,0.1033
"132.129966870587/46.6000524085271",25,0.0079365,2.1004,0.1033
"133.031987635862/60.4769336832652",25,0.0079365,2.1004,0.1033
"133.060742984343/79.1953934627369",25,0.0079365,2.1004,0.1033
"133.105324176884/38.9621758469549",25,0.0079365,2.1004,0.1033
"134.018863844177/68.8126405372699",25,0.0079365,2.1004,0.1033
"136.061881963348/25.8997213601845",25,0.0079365,2.1004,0.1033
"136.075769900508/52.6322906696118",25,0.0079365,2.1004,0.1033
"137.045741219924/45.4528086202951",25,0.0079365,2.1004,0.1033
"140.068289793062/66.8104957464953",25,0.0079365,2.1004,0.1033
"140.070573072648/55.6980875338512",25,0.0079365,2.1004,0.1033
"146.117622016385/51.2858086454975",25,0.0079365,2.1004,0.1033
"147.043863657407/64.8646051496751",25,0.0079365,2.1004,0.1033
"148.060438420924/81.3020566517043",25,0.0079365,2.1004,0.1033
"148.079428529573/73.4549872214643",25,0.0079365,2.1004,0.1033
"149.063853993104/83.8848375445589",25,0.0079365,2.1004,0.1033
"150.058374682058/53.1393798479843",25,0.0079365,2.1004,0.1033
"151.971989605518/136.48609613068",25,0.0079365,2.1004,0.1033
"153.040698048388/48.2566770095844",25,0.0079365,2.1004,0.1033
"155.068930421212/53.4983241124162",25,0.0079365,2.1004,0.1033
"157.073878176116/87.5893788494824",25,0.0079365,2.1004,0.1033
"159.051340177674/49.2137273482388",25,0.0079365,2.1004,0.1033
"160.034571905233/65.549058931136",25,0.0079365,2.1004,0.1033
"162.112477463977/60.5563795347986",25,0.0079365,2.1004,0.1033
"163.115785493968/66.3936566178286",25,0.0079365,2.1004,0.1033
"164.02944728343/71.5543796447941",25,0.0079365,2.1004,0.1033
"165.054747383793/55.216217459719",25,0.0079365,2.1004,0.1033
"166.058098908688/57.1320559278758",25,0.0079365,2.1004,0.1033
"167.089653099296/48.3251549046712",25,0.0079365,2.1004,0.1033
"173.021012537302/263.017240434101",25,0.0079365,2.1004,0.1033
"176.103079838448/85.7815989516264",25,0.0079365,2.1004,0.1033
"176.122283214108/86.0136944625907",25,0.0079365,2.1004,0.1033
"179.037289639709/80.0885063617839",25,0.0079365,2.1004,0.1033
"184.081667679474/55.7987147912171",25,0.0079365,2.1004,0.1033
"186.106923216358/57.584107001225",25,0.0079365,2.1004,0.1033
"186.148924315429/30.0261376948037",25,0.0079365,2.1004,0.1033
"188.070686971049/47.612594490837",25,0.0079365,2.1004,0.1033
"188.164564091697/32.0397325031271",25,0.0079365,2.1004,0.1033
"188.175778888393/77.3958077708709",25,0.0079365,2.1004,0.1033
"189.073897620838/48.7558652354579",25,0.0079365,2.1004,0.1033
"196.064014619726/87.2334377205272",25,0.0079365,2.1004,0.1033
"200.036050108175/54.2023838266126",25,0.0079365,2.1004,0.1033
"202.006216181284/69.5490402349647",25,0.0079365,2.1004,0.1033
"203.114070106915/61.5412462782352",25,0.0079365,2.1004,0.1033
"204.117460480269/64.8804949189947",25,0.0079365,2.1004,0.1033
"206.039977186252/70.7171109730816",25,0.0079365,2.1004,0.1033
"206.100634132846/47.60707326519",25,0.0079365,2.1004,0.1033
"208.013641303352/48.5318394548533",25,0.0079365,2.1004,0.1033
"212.133736197449/82.1813858564853",0,0.0079365,2.1004,0.1033
"214.461506357048/136.249282228992",25,0.0079365,2.1004,0.1033
"220.069262672227/76.0070403788807",25,0.0079365,2.1004,0.1033
"221.034072040112/61.0161920905003",25,0.0079365,2.1004,0.1033
"227.05085026135/61.3900679109382",25,0.0079365,2.1004,0.1033
"228.021855202274/69.3798819536578",25,0.0079365,2.1004,0.1033
"232.016921190275/72.1583115446801",25,0.0079365,2.1004,0.1033
"234.108489170861/81.6891583141413",25,0.0079365,2.1004,0.1033
"234.962967301778/47.4516284034809",25,0.0079365,2.1004,0.1033
"236.961156082935/48.3804540610849",25,0.0079365,2.1004,0.1033
"238.938432332821/109.988528726369",0,0.0079365,2.1004,0.1033
"241.154660524542/51.5742544464992",25,0.0079365,2.1004,0.1033
"241.998016039484/48.2658972019942",25,0.0079365,2.1004,0.1033
"242.0511078142/69.3372982103154",25,0.0079365,2.1004,0.1033
"243.996084863114/56.4389626762955",25,0.0079365,2.1004,0.1033
"245.056703810937/178.859873158827",25,0.0079365,2.1004,0.1033
"246.170081797089/29.6761850753275",25,0.0079365,2.1004,0.1033
"255.097623704016/46.993492558546",25,0.0079365,2.1004,0.1033
"255.978070658626/72.7484873158264",25,0.0079365,2.1004,0.1033
"257.148726871491/60.5116418246889",25,0.0079365,2.1004,0.1033
"257.994646215024/54.0483715816731",25,0.0079365,2.1004,0.1033
"258.110161304499/123.810130411723",25,0.0079365,2.1004,0.1033
"259.113456628885/121.603204825642",25,0.0079365,2.1004,0.1033
"261.036872058047/107.169058039431",25,0.0079365,2.1004,0.1033
"269.08801258271/48.0420342461813",25,0.0079365,2.1004,0.1033
"279.047501528507/94.5965746716796",25,0.0079365,2.1004,0.1033
"281.008864012561/51.6630955851486",25,0.0079365,2.1004,0.1033
"284.258396561072/27.864556606949",25,0.0079365,2.1004,0.1033
"290.134543988301/77.9484684141838",25,0.0079365,2.1004,0.1033
"291.975003831205/50.3883299916794",25,0.0079365,2.1004,0.1033
"296.009319917229/69.4678605390871",25,0.0079365,2.1004,0.1033
"300.004334238433/71.9098198676526",25,0.0079365,2.1004,0.1033
"300.107848394989/38.4605757164795",25,0.0079365,2.1004,0.1033
"309.13782081817/59.8120162833275",25,0.0079365,2.1004,0.1033
"315.953216156098/54.065503762176",25,0.0079365,2.1004,0.1033
"318.924249256517/46.4680503009006",25,0.0079365,2.1004,0.1033
"325.043128470382/186.23321556434",25,0.0079365,2.1004,0.1033
"325.113061901572/96.108716632464",25,0.0079365,2.1004,0.1033
"325.959514309029/47.7913073345161",25,0.0079365,2.1004,0.1033
"334.83680585653/57.8375828522622",0,0.0079365,2.1004,0.1033
"349.054793811248/184.38648133353",25,0.0079365,2.1004,0.1033
"349.073705940916/265.171976796015",25,0.0079365,2.1004,0.1033
"358.27012463807/33.8381029390809",25,0.0079365,2.1004,0.1033
"359.007265063268/271.271750726674",0,0.0079365,2.1004,0.1033
"360.084112624413/50.4386040097124",25,0.0079365,2.1004,0.1033
"360.150112036136/92.4769504287685",25,0.0079365,2.1004,0.1033
"363.99679344685/69.063397449056",25,0.0079365,2.1004,0.1033
"377.110957521213/52.0371395009269",25,0.0079365,2.1004,0.1033
"378.026051898746/69.21729710077",25,0.0079365,2.1004,0.1033
"378.238782124804/30.2478132319522",25,0.0079365,2.1004,0.1033
"390.79841095047/56.1724690337069",0,0.0079365,2.1004,0.1033
"398.040060960269/51.6417215297445",25,0.0079365,2.1004,0.1033
"402.885628508482/48.2924125094918",25,0.0079365,2.1004,0.1033
"405.968448576733/69.4709208747413",25,0.0079365,2.1004,0.1033
"409.920891154914/49.7454737803491",25,0.0079365,2.1004,0.1033
"410.127029268435/61.622753291447",25,0.0079365,2.1004,0.1033
"411.130171715616/61.8754383532389",25,0.0079365,2.1004,0.1033
"413.127591899501/60.5707501771493",25,0.0079365,2.1004,0.1033
"421.232807633364/28.8012685248255",0,0.0079365,2.1004,0.1033
"431.778578833286/45.7702847994476",0,0.0079365,2.1004,0.1033
"433.739877693421/38.8908737995772",0,0.0079365,2.1004,0.1033
"435.995903199535/50.8796516698473",25,0.0079365,2.1004,0.1033
"441.100084706925/94.1958180190689",25,0.0079365,2.1004,0.1033
"442.10370932585/94.9266314049844",25,0.0079365,2.1004,0.1033
"446.013702116232/69.4721435624318",25,0.0079365,2.1004,0.1033
"448.757529075006/55.3688267630459",0,0.0079365,2.1004,0.1033
"450.230390579005/44.9646436763623",0,0.0079365,2.1004,0.1033
"451.988787026177/185.560316410309",0,0.0079365,2.1004,0.1033
"454.292003319822/35.9058478674124",0,0.0079365,2.1004,0.1033
"458.296724363116/33.3955899142953",25,0.0079365,2.1004,0.1033
"458.697157888071/56.8310484643152",0,0.0079365,2.1004,0.1033
"460.782947142407/56.0951350300151",0,0.0079365,2.1004,0.1033
"465.261476883224/55.8233631755906",0,0.0079365,2.1004,0.1033
"466.26529499741/42.2804905034088",0,0.0079365,2.1004,0.1033
"472.745149013747/46.2135806620541",0,0.0079365,2.1004,0.1033
"473.955719269316/69.3742840545974",25,0.0079365,2.1004,0.1033
"479.121638326242/46.5180564380894",25,0.0079365,2.1004,0.1033
"494.256822864548/45.919957853159",0,0.0079365,2.1004,0.1033
"497.236828542553/38.1168293515386",0,0.0079365,2.1004,0.1033
"508.339992164438/41.8897574283398",25,0.0079365,2.1004,0.1033
"509.287164870271/51.9530739032855",0,0.0079365,2.1004,0.1033
"510.291028770444/47.0174978729483",0,0.0079365,2.1004,0.1033
"518.652096974314/56.0886916168741",0,0.0079365,2.1004,0.1033
"522.355209267836/39.9004086282237",25,0.0079365,2.1004,0.1033
"536.370950204146/40.9199023944923",25,0.0079365,2.1004,0.1033
"539.076701838988/86.190147993889",25,0.0079365,2.1004,0.1033
"541.94300590088/69.3603354085047",25,0.0079365,2.1004,0.1033
"541.962933782189/128.758041095157",0,0.0079365,2.1004,0.1033
"542.322187670571/44.8661586694994",25,0.0079365,2.1004,0.1033
"543.328683031256/41.3240485821172",25,0.0079365,2.1004,0.1033
"544.340380070364/41.6313650585338",25,0.0079365,2.1004,0.1033
"553.313922066479/49.3175976035402",0,0.0079365,2.1004,0.1033
"554.417571104244/69.3866726162159",25,0.0079365,2.1004,0.1033
"564.673572330135/55.6683548257175",0,0.0079365,2.1004,0.1033
"581.988389246566/69.5808196516495",25,0.0079365,2.1004,0.1033
"615.774835314347/166.713933559935",0,0.0079365,2.1004,0.1033
"622.403280103076/68.3796467583762",25,0.0079365,2.1004,0.1033
"632.831703883672/82.8846160601563",0,0.0079365,2.1004,0.1033
"638.329377493327/47.8235052248616",25,0.0079365,2.1004,0.1033
"662.328942789708/46.3488352700964",25,0.0079365,2.1004,0.1033
"669.423128527925/45.0410127164518",0,0.0079365,2.1004,0.1033
"685.393183041514/47.4784797932073",0,0.0079365,2.1004,0.1033
"690.389907975032/69.5701737047547",25,0.0079365,2.1004,0.1033
"694.615221171505/55.661656968451",0,0.0079365,2.1004,0.1033
"737.914553359655/161.462724334126",0,0.0079365,2.1004,0.1033
"772.57980636855/37.2287486261432",25,0.0079365,2.1004,0.1033
"773.444652988962/54.1582158643883",0,0.0079365,2.1004,0.1033
"776.524896541319/52.1228988032568",0,0.0079365,2.1004,0.1033
"821.586091833819/34.6327465746671",25,0.0079365,2.1004,0.1033
"828.777666836061/90.2252549529244",0,0.0079365,2.1004,0.1033
"841.389459422369/67.7063602529492",0,0.0079365,2.1004,0.1033
"928.618806913368/27.9430164100175",25,0.0079365,2.1004,0.1033
"1051.79010941314/67.8433656964146",0,0.0079365,2.1004,0.1033
"520.339454665495/42.0095207311502",25,0.0094674,2.0238,0.12259
"738.951123349496/53.5078928548228",25,0.0097008,2.0132,0.12496
"106.114979793526/46.0880831471246",0,0.011159,1.9524,0.13186
"175.107673906917/73.3565566358554",25,0.011159,1.9524,0.13186
"246.047522343907/105.603339419859",25,0.011159,1.9524,0.13186
"275.850424324305/143.413051178924",0,0.011159,1.9524,0.13186
"405.01412410066/108.941312271734",25,0.011159,1.9524,0.13186
"780.553125987395/35.1642101154222",25,0.011159,1.9524,0.13186
"964.350138021969/56.6684800462269",0,0.011159,1.9524,0.13186
"166.086289054943/46.7167547224154",25,0.011667,1.933,0.13186
"466.329151730825/38.2412264770544",25,0.011667,1.933,0.13186
"86.0964461032768/48.632693182622",25,0.011925,1.9235,0.13186
"113.034712894658/38.1202193531383",25,0.011925,1.9235,0.13186
"137.072764655226/55.6742178035062",25,0.011925,1.9235,0.13186
"138.054956839422/45.6643713197125",25,0.011925,1.9235,0.13186
"147.07646008542/83.2426384447382",25,0.011925,1.9235,0.13186
"156.072109718539/56.2725171682126",25,0.011925,1.9235,0.13186
"156.076820046162/91.8621339605385",25,0.011925,1.9235,0.13186
"157.080103323931/96.4020906175566",25,0.011925,1.9235,0.13186
"163.071358735152/78.6391765230219",25,0.011925,1.9235,0.13186
"173.139757527749/45.0308010892681",0,0.011925,1.9235,0.13186
"182.081309511751/50.8760616005572",25,0.011925,1.9235,0.13186
"183.078344486606/57.5255940999214",25,0.011925,1.9235,0.13186
"186.016294656195/281.868803250656",0,0.011925,1.9235,0.13186
"202.483305200851/116.393129316877",0,0.011925,1.9235,0.13186
"205.097179822858/47.0600554793869",25,0.011925,1.9235,0.13186
"269.993568184153/69.584161549695",25,0.011925,1.9235,0.13186
"296.268052293523/117.602432674709",0,0.011925,1.9235,0.13186
"472.243534682635/42.9714379684892",0,0.011925,1.9235,0.13186
"798.598823919289/35.9181210872917",25,0.011925,1.9235,0.13186
"810.441726021567/55.9554298703284",0,0.011925,1.9235,0.13186
"820.471756779846/55.8333542397973",0,0.011925,1.9235,0.13186
"903.429175477087/52.8001368299397",0,0.011925,1.9235,0.13186
"1046.72391489241/72.2056601348304",0,0.011925,1.9235,0.13186
"119.083357438442/62.4936238943776",24,0.015873,1.7993,0.13725
"125.959965397085/137.351027595692",24,0.015873,1.7993,0.13725
"140.463970431459/138.283246100643",24,0.015873,1.7993,0.13725
"168.096294253305/38.3944791320751",24,0.015873,1.7993,0.13725
"169.085758745573/29.3226576397135",24,0.015873,1.7993,0.13725
"178.009343386516/264.635249990568",1,0.015873,1.7993,0.13725
"185.42314198496/137.711083068146",24,0.015873,1.7993,0.13725
"193.948337981119/136.176548374084",24,0.015873,1.7993,0.13725
"220.883636104071/136.788470430425",24,0.015873,1.7993,0.13725
"222.662592657447/80.9569573427662",24,0.015873,1.7993,0.13725
"224.043400093974/61.5415072454589",24,0.015873,1.7993,0.13725
"237.957683771106/156.083441392189",24,0.015873,1.7993,0.13725
"247.092389806999/251.453433677104",1,0.015873,1.7993,0.13725
"261.910007900726/136.762819910581",24,0.015873,1.7993,0.13725
"278.875557644962/50.14729617141",1,0.015873,1.7993,0.13725
"282.423447446772/137.5092215966",24,0.015873,1.7993,0.13725
"286.274045625909/26.0264950153042",24,0.015873,1.7993,0.13725
"286.310430374309/25.1307635097267",1,0.015873,1.7993,0.13725
"288.289701421654/27.453001500114",24,0.015873,1.7993,0.13725
"290.875903727962/47.7674919727952",1,0.015873,1.7993,0.13725
"295.10210902332/264.653942229514",1,0.015873,1.7993,0.13725
"300.904738542782/79.5465020378812",1,0.015873,1.7993,0.13725
"308.090892807133/65.4640354318783",24,0.015873,1.7993,0.13725
"335.914482554552/47.5114604422549",24,0.015873,1.7993,0.13725
"336.834135529174/58.3536408405626",1,0.015873,1.7993,0.13725
"348.941981431594/138.220549773238",24,0.015873,1.7993,0.13725
"354.011719953525/201.784111250124",1,0.015873,1.7993,0.13725
"366.202325638831/40.0580976739875",24,0.015873,1.7993,0.13725
"368.892326160502/70.542218327875",1,0.015873,1.7993,0.13725
"420.863604917751/99.3096793257088",1,0.015873,1.7993,0.13725
"453.791532007955/34.3323202105342",1,0.015873,1.7993,0.13725
"469.089479679816/61.8123524137584",24,0.015873,1.7993,0.13725
"471.085524890541/60.6614833960944",24,0.015873,1.7993,0.13725
"475.805251360614/45.3052483707178",1,0.015873,1.7993,0.13725
"480.308765760571/38.7048659329539",24,0.015873,1.7993,0.13725
"482.324980874767/38.3515275645166",24,0.015873,1.7993,0.13725
"485.062901022127/63.3158170766888",24,0.015873,1.7993,0.13725
"487.059355519119/58.3410334206349",24,0.015873,1.7993,0.13725
"504.867281825921/44.7177479667154",1,0.015873,1.7993,0.13725
"512.876210887188/77.4215850195979",1,0.015873,1.7993,0.13725
"554.315900977142/53.5826494699457",1,0.015873,1.7993,0.13725
"559.989193463018/62.7140200691255",24,0.015873,1.7993,0.13725
"570.666025607661/55.8315894603737",1,0.015873,1.7993,0.13725
"572.854358493651/70.8099280142504",1,0.015873,1.7993,0.13725
"609.930233759844/69.5448187904978",24,0.015873,1.7993,0.13725
"624.630398412132/55.8971709473408",1,0.015873,1.7993,0.13725
"664.764815309371/141.577249263069",1,0.015873,1.7993,0.13725
"711.350489557038/67.7719048541311",1,0.015873,1.7993,0.13725
"729.419077934643/48.2764300326688",1,0.015873,1.7993,0.13725
"730.42188906506/47.5597882544393",1,0.015873,1.7993,0.13725
"758.56456987983/34.2449917553965",24,0.015873,1.7993,0.13725
"761.911633794178/68.3172856103899",24,0.015873,1.7993,0.13725
"762.739966737295/148.331653091537",1,0.015873,1.7993,0.13725
"767.538695063174/31.5054195786164",24,0.015873,1.7993,0.13725
"771.571972562492/42.6944457714543",24,0.015873,1.7993,0.13725
"779.842518758374/67.9563611567209",1,0.015873,1.7993,0.13725
"793.556371765132/34.2182565050301",24,0.015873,1.7993,0.13725
"800.613518768146/37.341646012952",24,0.015873,1.7993,0.13725
"860.35815297753/67.7142139944029",24,0.015873,1.7993,0.13725
"868.491233773784/55.7263654324174",1,0.015873,1.7993,0.13725
"902.577336259308/43.8842531733938",24,0.015873,1.7993,0.13725
"922.366222996516/54.5203372978298",1,0.015873,1.7993,0.13725
"1122.71810345627/81.3316857083702",1,0.015873,1.7993,0.13725
"104.528881682026/134.313233512055",24,0.01775,1.7508,0.15296
"104.106970895819/46.4866792811117",23.5,0.018881,1.724,0.16214
"225.046658971679/64.5342447463421",24,0.020008,1.6988,0.17007
"596.77044066523/138.904241380353",24,0.020008,1.6988,0.17007
"794.46614579993/53.4471036415222",1,0.020008,1.6988,0.17007
"151.001070546873/110.130099970676",1,0.021177,1.6741,0.17238
"176.418014611715/137.559563415367",24,0.021177,1.6741,0.17238
"440.824252648721/70.6147768167002",1,0.021177,1.6741,0.17238
"536.859664558295/80.850068937974",1,0.021177,1.6741,0.17238
"562.986457748477/62.0916512329442",24,0.021177,1.6741,0.17238
"636.927145529951/67.9990297752673",24,0.021177,1.6741,0.17238
"638.652834292288/56.1222513672538",1,0.021177,1.6741,0.17238
"640.840481897067/77.8103587565724",1,0.021177,1.6741,0.17238
"706.50526473816/56.2911692455246",1,0.021177,1.6741,0.17238
"738.50746301176/39.9137032702653",24,0.021177,1.6741,0.17238
"750.83077181356/69.2399388936235",1,0.021177,1.6741,0.17238
"828.774301218965/85.4305118896246",1,0.021177,1.6741,0.17238
"1232.62680874298/83.5311492598675",1,0.021177,1.6741,0.17238
"323.383248312651/161.184418556526",1.5,0.027803,1.5559,0.20135
"476.307016125823/35.4079293989153",1.5,0.027803,1.5559,0.20135
"100.982096894222/128.106120633339",23,0.031141,1.5067,0.20135
"1219.7782670337/67.7718100165566",23,0.031141,1.5067,0.20135
"87.0552994261642/83.4040022055353",23,0.031746,1.4983,0.20135
"91.0542291133118/42.7227261536276",23,0.031746,1.4983,0.20135
"94.0510200308734/111.342787111799",2,0.031746,1.4983,0.20135
"99.0439740704522/267.195271702325",23,0.031746,1.4983,0.20135
"118.065095052077/39.1789231038844",23,0.031746,1.4983,0.20135
"158.040323414461/64.9252491783764",23,0.031746,1.4983,0.20135
"159.065247638532/49.9389362345955",23,0.031746,1.4983,0.20135
"160.977237165223/131.923234781935",23,0.031746,1.4983,0.20135
"169.98256515405/139.045131763145",23,0.031746,1.4983,0.20135
"172.485151309649/135.238747456961",23,0.031746,1.4983,0.20135
"173.020991116345/126.781507834995",23,0.031746,1.4983,0.20135
"177.509572728259/196.811985746174",2,0.031746,1.4983,0.20135
"178.987165888834/117.194242434139",2,0.031746,1.4983,0.20135
"179.007822690431/264.088628315496",2,0.031746,1.4983,0.20135
"180.007211555884/267.216498492454",2,0.031746,1.4983,0.20135
"181.490542770238/159.898343492714",23,0.031746,1.4983,0.20135
"184.073363829735/166.040820474669",23,0.031746,1.4983,0.20135
"199.090719430724/70.0696066365607",23,0.031746,1.4983,0.20135
"204.123142677999/43.0829044124397",23,0.031746,1.4983,0.20135
"205.060199853756/56.4688165540412",23,0.031746,1.4983,0.20135
"205.936437578279/137.609992301398",23,0.031746,1.4983,0.20135
"214.051224917587/240.085038624755",23,0.031746,1.4983,0.20135
"217.444446609525/138.889351039354",23,0.031746,1.4983,0.20135
"226.449736015768/136.418408046841",23,0.031746,1.4983,0.20135
"236.089601782433/110.64111095774",2,0.031746,1.4983,0.20135
"246.144876633479/56.7100819897892",23,0.031746,1.4983,0.20135
"250.076870658724/65.6856733158578",23,0.031746,1.4983,0.20135
"254.900941391611/97.365478712093",2,0.031746,1.4983,0.20135
"258.990136432305/62.0393023961734",23,0.031746,1.4983,0.20135
"259.991792190467/55.2844989077705",23,0.031746,1.4983,0.20135
"267.134022724078/41.0999710996009",23,0.031746,1.4983,0.20135
"268.922227437043/136.773117182659",23,0.031746,1.4983,0.20135
"280.194430014339/84.114132771706",2,0.031746,1.4983,0.20135
"293.190900784234/65.5567158429246",2,0.031746,1.4983,0.20135
"297.975999356685/62.7222272716311",23,0.031746,1.4983,0.20135
"298.979421021243/62.7468090299154",23,0.031746,1.4983,0.20135
"300.974632271052/55.8018247126277",23,0.031746,1.4983,0.20135
"302.936560526017/136.600006810797",23,0.031746,1.4983,0.20135
"322.886787622328/137.174803387851",23,0.031746,1.4983,0.20135
"334.394730423404/136.450231555496",23,0.031746,1.4983,0.20135
"340.348507153232/27.1014961309497",23,0.031746,1.4983,0.20135
"346.233359166712/39.1661027473011",23,0.031746,1.4983,0.20135
"349.067596698328/149.558120844827",23,0.031746,1.4983,0.20135
"355.01125331016/262.654960270656",2,0.031746,1.4983,0.20135
"359.713095899202/37.5508414911924",2,0.031746,1.4983,0.20135
"366.373084338652/27.126364367685",23,0.031746,1.4983,0.20135
"376.906704580024/63.3317490569509",23,0.031746,1.4983,0.20135
"402.233987797191/35.6411612022896",23,0.031746,1.4983,0.20135
"410.766381939002/56.4973011971641",2,0.031746,1.4983,0.20135
"425.752451033814/37.2972115483584",2,0.031746,1.4983,0.20135
"426.232668112298/42.7642838445679",23,0.031746,1.4983,0.20135
"426.255045732607/37.344429334232",2,0.031746,1.4983,0.20135
"452.988376328056/267.605264252585",2,0.031746,1.4983,0.20135
"456.698688199753/56.5229306852214",2,0.031746,1.4983,0.20135
"462.780190995501/52.5759539159342",2,0.031746,1.4983,0.20135
"490.317328623782/39.0004886450976",23,0.031746,1.4983,0.20135
"494.758561850449/45.1754881737819",2,0.031746,1.4983,0.20135
"494.838501129458/59.7309942274597",2,0.031746,1.4983,0.20135
"497.818073395344/39.9787473041074",2,0.031746,1.4983,0.20135
"502.814968219728/37.618184141954",23,0.031746,1.4983,0.20135
"509.344177281589/41.2586005182",2,0.031746,1.4983,0.20135
"511.285096429018/40.1722118826877",2,0.031746,1.4983,0.20135
"516.749014497806/62.3845823586091",2,0.031746,1.4983,0.20135
"558.996646694619/63.0110710372249",23,0.031746,1.4983,0.20135
"560.991615894295/62.700840921241",23,0.031746,1.4983,0.20135
"597.338194314864/46.7209963682894",2,0.031746,1.4983,0.20135
"618.950769109064/61.4132463577492",23,0.031746,1.4983,0.20135
"639.941407771874/130.038416284071",2,0.031746,1.4983,0.20135
"667.38963335513/29.1018731854625",2,0.031746,1.4983,0.20135
"680.526496457672/25.8838175723009",23,0.031746,1.4983,0.20135
"686.39580873609/48.7504391583352",2,0.031746,1.4983,0.20135
"732.553663769639/34.5236312459154",2,0.031746,1.4983,0.20135
"751.546329023363/28.5760360225509",23,0.031746,1.4983,0.20135
"761.587613057182/39.5485167479163",23,0.031746,1.4983,0.20135
"774.600390138065/43.9862771653992",23,0.031746,1.4983,0.20135
"792.55243883297/34.4474506280434",23,0.031746,1.4983,0.20135
"800.503779207239/55.8991066162082",2,0.031746,1.4983,0.20135
"820.582160100391/34.1577875164795",23,0.031746,1.4983,0.20135
"828.777630358735/80.0763143076084",2,0.031746,1.4983,0.20135
"874.43558081385/56.0656702217507",2,0.031746,1.4983,0.20135
"909.379090173689/56.9458167212987",23,0.031746,1.4983,0.20135
"1187.26533053146/67.8498546040189",2,0.031746,1.4983,0.20135
"1274.74853662208/69.1087447180655",2,0.031746,1.4983,0.20135
"95.5229660321685/141.610514691645",23,0.034454,1.4628,0.21525
"209.117239509242/27.4599335948391",23,0.034454,1.4628,0.21525
"262.88680112263/134.269503384887",23,0.034454,1.4628,0.21525
"365.228244372252/19.8693929417549",23,0.034454,1.4628,0.21525
"530.767981412661/57.6025638189153",23,0.034454,1.4628,0.21525
"778.543825036936/34.7018657415455",23,0.034454,1.4628,0.21525
"516.36159224791/27.9060257787598",2,0.035579,1.4488,0.21977
"209.583583933207/106.655680386312",23,0.036145,1.442,0.21977
"254.924844888595/158.84053875816",23,0.036145,1.442,0.21977
"331.05351526832/106.716316279914",2,0.036145,1.442,0.21977
"371.908261949004/63.3005952741109",23,0.036145,1.442,0.21977
"374.908926991443/61.0197114532377",23,0.036145,1.442,0.21977
"426.851039196891/72.2195115561213",2,0.036145,1.442,0.21977
"431.25190763002/40.6908145767218",2,0.036145,1.442,0.21977
"437.883250716649/77.2723500134008",2,0.036145,1.442,0.21977
"444.887661505343/70.2330197294861",2,0.036145,1.442,0.21977
"818.815519351123/69.3700497006695",2,0.036145,1.442,0.21977
"747.753967326473/53.9047600927648",22.5,0.043878,1.3578,0.26221
"91.5220470294769/134.264625632701",22,0.044909,1.3477,0.26221
"94.5151601548833/133.493239025311",22,0.044909,1.3477,0.26221
"182.990435035259/139.176137287778",22,0.044909,1.3477,0.26221
"209.042703433439/138.273961498145",22,0.044909,1.3477,0.26221
"296.970704847088/132.179424435261",22,0.044909,1.3477,0.26221
"332.922549420009/61.4588701611931",22,0.044909,1.3477,0.26221
"363.016816936859/62.6654424121289",22,0.044909,1.3477,0.26221
"522.775243145851/63.6761771600812",22,0.044909,1.3477,0.26221
