"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"110.296202255923/103.956522368146","455816.3333","1019807.333","4239752.667","557064","971172.6667","3901321.667","7411925.5","2174446.333","3532136","3552017.667"
"110.975373718024/132.177219436534","3108057.667","1758375.667","122718.8333","2336956.333","1319528.667","2512655.5","122718.8333","2587874.333","122718.8333","122718.8333"
"111.039128116575/207.902735076389","38825288","191006719","198798887","346309132.5","184692252.3","261785635","499625023.7","36199715.5","280983803.3","338690614"
"111.091691899575/224.258551127217","2096611.333","8824355.333","1037650.333","1287209.667","559277","3573320.667","12320446.67","1534328.667","432027.3333","987662.3333"
"111.091708797708/82.4544725242446","1545107.333","4362204.667","738682.3333","775553","674338","5297058.667","10164446.67","1384436","1324795.333","703581.6667"
"111.536754006781/187.056842380584","50469278","30251149.67","33023903.67","33635307.67","30653917","48231282.33","22053985.67","25113985.67","22177750.33","22314297.67"
"111.536754659956/138.024150612588","43039179.67","40336466","29366846.67","26205688","25370558","39973752","28574022","20891297.33","21797128.67","18730535"
"111.54078524358/201.234939266756","16778442","28570372.67","31168214.67","35727356.33","38736843","44894563","43054039","35101599.67","22104681.33","38383673.33"
"111.580629978519/26.5416737518384","1742780.333","1456631","2384553.333","1932382","5159432.333","2736503","3343743.333","3691339.667","1757934.333","6145584"
"112.041022289029/179.446360147","112679259.7","103481285.7","380940500.3","107090694.3","117824934.3","65590833.67","196531357.3","132914172","157621149.3","216347666.7"
"112.061882148283/211.461234847065","14776477.67","8445079","2621972.333","5939459","4462377.5","9255545.667","1983785.333","6653077.333","3267516","3911863.333"
"112.08687611214/87.2224913025398","11650874.33","11947351.33","38944295.67","12354442.67","12963508.33","5167059.667","10720479.67","11090621","11937308","14098744"
"112.112047962421/169.117548047282","22063861.67","21610526.33","66570360.33","1443871.333","13024863.67","4812452.333","39477311","54570090","110332402","151638848.3"
"112.112052020616/242.366720547949","4346347","11783578","113378943.3","6891405","5964236.667","3611827.667","72223084","36900983","56373047.33","85239093.33"
"112.519584117575/102.085182613182","2250865.667","2141838.333","1088704.333","1582330.667","2150135.667","2315878.667","16058074.67","215606.3333","20038.5","25311.66667"
"112.542645087026/174.610668826712","9047053.667","8277860","30224652.33","8525221.667","9356319.667","4882171.333","15227857","10163062","12441544.33","16194376.67"
"112.558596128196/26.730792268916","3200764.333","2027666.667","4268735.333","61603.33333","1931543.333","1163880.333","4017486.333","4427042.667","825927.3333","2131069"
"112.887333262585/102.159704764737","4362247.667","5919481.667","7349074","5852263.667","5409315.333","9755198.667","12539527","6854077.667","6606945.667","8418480.667"
"112.986687548174/123.738807286586","3213641.667","3831381","122718.8333","1508595.333","291667","122718.8333","5448375.667","122718.8333","122718.8333","2841350.333"
"112.99099105703/126.151591430388","122718.8333","3639946.5","2727430.333","122718.8333","434281","122718.8333","22065605","122718.8333","122718.8333","2005238"
"113.009574772099/110.495417751472","590763","1525325","2898097.333","769450.5","122718.8333","561760","4565561.333","913931.3333","1201264.667","2382326.333"
"113.030973560055/142.879388456988","1368825.667","2145201.5","1651468.333","122718.8333","1631373","3836296.333","122718.8333","122718.8333","122718.8333","122718.8333"
"113.034712894658/38.1202193531383","8167765","6547783.667","7961974.667","8220270","10468161.67","2005545.333","3131279.333","3022402.333","3431880.667","2783454.667"
"113.038848627448/172.355601108149","4408342.667","4548389","17364178.67","4436525.667","5010638.333","2547663.333","8511289.333","5441727.333","6655948","9021271.667"
"113.107288582215/240.91143697271","5505418","47193869.67","24768042.5","51941929.5","19512287.67","29643705.67","20079637.67","19540217.67","25954554","18135019"
"113.115389228322/260.739056238353","387362.6667","833923.6667","5527470.667","800716.3333","445696.3333","770526.3333","3327182","2367360.333","1856108.667","3199925"
"113.115395785878/206.702359303957","172624.6667","336377.6667","5132975.667","489588.3333","346265.3333","542304","5671436","2639479.333","2780922","3721406.667"
"113.115420087671/161.208853471939","509183.3333","954581.3333","2793913","871418.6667","868954.6667","604802.3333","3978837.333","3006630.667","3357650","3189221.333"
"113.132459820629/26.5374015377689","5906378","7954476","5475529.333","5082874.333","4923167.667","8415538","6371162","6933510.333","6465455.333","7253891.333"
"113.533248792909/136.583536362907","1890486.667","2046532","1727054","2557072.5","729321.3333","2106251","122718.8333","122718.8333","122718.8333","122718.8333"
"113.963726986453/62.361862843321","21112943.33","3146928","1482414.333","4995068","5201551.667","75736854.33","3501494.667","978190.3333","1378589","3448956.333"
"113.999048198001/127.042866062891","1859035","723863","2934477.5","720221.6667","364112.5","514282.5","35961170","561784.5","2652052.5","1993323.333"
"114.066210837522/248.282989685004","9738136","7077933.333","10765950.33","3838137","6159267.667","10171236","4318342.667","7256544.667","9382725.667","6309286.667"
"114.217742351988/40.7116566571573","4486522","3777824.667","7142777","5245822.333","3227553","6748284.333","5798656.333","4257077","5487134.333","6617809.333"
"114.497404587913/135.922614750953","5093594","7482242","7977104","3309002.333","5923342.333","7287657.333","9551436","4330610.333","3947353.667","5079820"
"114.553790538135/101.793707744911","7283980","4299494","10634924.33","3881295","3790135.667","3794968.667","14064629.33","4242636.333","9700876.333","6741186"
"115.011465237929/108.312666644222","628609","423974.5","1336123","2665263.5","450178.3333","6183840.667","17927052.33","1245398.667","1723257.333","2271429.667"
"115.063256112097/38.6622186340873","3174302.5","101590.5","122718.8333","122718.8333","122718.8333","122718.8333","5587307.667","5124031.5","1621895.5","122718.8333"
"115.086623788506/97.7179600196504","6181744.333","7278266.333","23969928.33","6336094.667","5698541","2126181","7449794","6050392.667","10593092.67","9852813"
"115.571323674051/82.741738420446","3633060.333","6202732.667","8618720.667","8554581.333","5101716.333","7004345","4402885.333","5565169.333","5758852","7139347.667"
"115.88376731903/145.4414853655","928679.6667","1972850","1817135","1242295.667","1085520","1913355","122718.8333","122718.8333","122718.8333","122718.8333"
"116.034234335138/84.8914695953819","4951656","4657111.667","5334624.333","5193925","6420017.667","2841944","2770315.667","3421223.667","2501632.333","1663929.667"
"116.648733998128/123.265802430874","122718.8333","122718.8333","4990279","2598140.5","4234628","122718.8333","4706994.333","1599194.333","122718.8333","122718.8333"
"116.655846102816/78.038026189476","2268037.5","1163642","122718.8333","122718.8333","122718.8333","2119883","8768743.5","2809406","122718.8333","9121044"
"116.661143401093/92.5906888084669","7503859.333","14423504.5","122718.8333","122718.8333","122718.8333","10973653.33","122718.8333","9398380","122718.8333","122718.8333"
"116.86659271582/105.422976126374","122718.8333","628754","122718.8333","3651995.5","122718.8333","466594.5","122718.8333","5317015","3513322.5","122718.8333"
"117.093823645913/61.2090741429611","122718.8333","1241665","122718.8333","3462747","2461702","3451582.5","122718.8333","122718.8333","122718.8333","122718.8333"
"117.097582022258/81.3446169875142","122718.8333","6232982.5","3924811.333","122718.8333","4307344.667","122718.8333","6742235.667","2646325.5","1516675","9025065"
"117.107489416707/53.8886714275066","122718.8333","6720460","2739334","122718.8333","122718.8333","122718.8333","122718.8333","1961764.5","122718.8333","6763173"
"117.111122742419/96.9515747510177","6987821.333","4539774","3531461","1176518","122718.8333","5796306","1848377","5856413.5","1778940","1737556"
"117.125320974842/72.9244019987657","211791.3333","122718.8333","573620","1024261","1613048","2473893.333","8553313","122718.8333","2599331.5","4198364.5"
"117.153995833599/62.0182507847469","3861395.333","1450838","122718.8333","2835131.5","122718.8333","122718.8333","122718.8333","2671766.5","122718.8333","3141375.5"
"117.743769219425/63.8053642004756","1623851.333","765410.6667","728251","742086.3333","753710.6667","4345407.667","2701761.5","3279537.667","375681.5","2069023"
