"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"255.93358365435/72.16577822497","519901.5","322063","122718.8333","493592","180678","605490.6667","2213035","1087020","29072.5","50110.33333"
"255.978070658626/72.7484873158264","2866034.333","3653407.333","2315088.667","3048932.667","5269134.333","798366.3333","1075567.333","979929","1007304.667","777192"
"256.145732687116/24.3561498676871","46493.33333","48044.66667","42999.5","27729","73799.33333","52146.33333","688297.6667","70575.5","26023.33333","48030.66667"
"256.175449813247/251.269310651506","5993503.333","12374140.5","7027223.667","5738173.333","6784495","10168291.5","5289793","6182194.333","4809118.667","7096514.667"
"256.175467045825/25.3552850810316","131255481.3","30435390.33","20531732.33","21946645.67","15605408.33","19992698","39367228.67","19821512.67","23794672.33","21445873.67"
"256.227015689491/27.1468907717016","5071066.667","6992539.667","9292230","5687577","6931003.333","16800494.33","4574766.667","6364040.667","6544894.667","5743157"
"256.263521213822/271.813948150862","2076938.333","847606","3329735.667","3171598.333","2014440.333","2179162.333","983445.6667","4336881.667","2075167","2612403.667"
"256.423304234936/140.828720966615","2337048","1339962","2594479.667","1343862.5","644784.3333","2005572","3556151.667","2552077.667","2868115","2852183.667"
"256.811255265483/63.9714442602164","4942829.333","7103841","6881024.5","6874194","5357394.5","10844045.5","122718.8333","10354088.5","3423434.5","122718.8333"
"256.85025962654/57.1680695197029","145024250","122718.8333","122718.8333","122718.8333","144162183.7","146830526.3","122718.8333","122718.8333","122718.8333","122718.8333"
"256.921303293084/135.705389898581","122718.8333","873597","1803754.667","122718.8333","1332405.333","122718.8333","122718.8333","710251.5","2043150.5","122718.8333"
"256.940969139459/67.0429708143216","122718.8333","16847727","1588021.333","122718.8333","2782613","7338764.5","1609764","13038723.5","1717057","2848611.333"
"256.996755548459/72.9515085497839","159660.3333","802646","236445","632044.6667","214428.3333","12601.33333","1310092","122718.8333","21886","122718.8333"
"257.005589200768/21.4212036846948","492525","165464.6667","122718.8333","82812","55026","215728.6667","108735.3333","60565.33333","71986.66667","59699.5"
"257.074276765827/240.549253893504","13753570","71755.66667","2960234.667","624738","122718.8333","969335","1478819.667","827697","2303564.667","2009062.333"
