"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"245.185932503132/34.6913757607102"," 1.13377857","-0.40110002"," 0.60742241"," 0.51180360"," 0.32756882"," 1.03278594","-2.30290662"," 0.03300633","-0.45846535","-0.48389369"
"245.909823051788/142.469156965422","-0.8624730","-0.9139122","-0.9139122","-0.9139122"," 1.4395089"," 0.9522707","-0.9139122"," 0.4768079"," 0.4074156"," 1.2421189"
"245.91531830596/132.989202521125","-1.1184352","-1.1682205"," 0.8573762","-1.1682205"," 0.9413764","-1.1682205"," 0.6026254"," 0.8472837"," 0.7505405"," 0.6238944"
"245.919622857218/138.019051472268","-0.1894293"," 1.3061169","-0.4359850"," 1.0482698"," 1.2965025"," 0.5506965","-0.1802590","-1.0026659","-0.9924296","-1.4008171"
"245.926902718063/66.9108292510162","-0.826807422","-0.864112504"," 0.002193508","-0.864112504"," 1.052956216","-0.864112504","-0.864112504"," 1.163756417"," 1.638724933"," 0.425626363"
"246.047522343907/105.603339419859"," 0.81168977"," 0.97053362"," 0.16021350"," 1.06493487"," 1.21795124","-1.20023171","-1.20023171","-1.20023171","-0.65823003"," 0.03360215"
"246.144876633479/56.7100819897892"," 0.9295914","-0.4069040"," 1.5033327"," 0.8230631"," 0.9694390","-1.0206291","-1.4915576","-0.2557521","-0.2017681","-0.8488154"
"246.170081797089/29.6761850753275"," 0.7091269"," 0.7322210"," 0.7240481"," 0.6774456"," 1.2959081"," 0.3507618","-1.1080155","-0.8333074","-1.2163455","-1.3318429"
"247.092389806999/251.453433677104","-0.7084278","-0.4659734"," 0.4468728","-1.2521855","-1.7417717"," 0.9313214"," 0.1738739"," 1.3179185"," 0.6822075"," 0.6161643"
"247.154110650999/28.1555859375408"," 0.08377718","-0.52015718"," 0.78802672"," 0.24491280"," 1.14493081","-0.23204575","-2.49722461"," 0.14124935"," 0.24670303"," 0.59982765"
"247.455121327989/138.249638892856","-0.9348380","-0.9736289"," 0.9337367","-0.9736289","-0.8798934","-0.9736289"," 0.8565167"," 1.0267242"," 1.0216397"," 0.8970009"
"248.828556855304/63.5826788693648","-1.31408126","-1.34689112"," 0.80685274","-0.02145594","-0.19376332","-1.34689112"," 0.81960603"," 0.76440007"," 1.01945453"," 0.81276939"
"249.108056442928/83.6816968067939"," 0.42573437","-0.99838525"," 1.03259547","-1.08808336","-1.38917118","-0.40333945"," 0.14725348"," 0.05824497"," 0.40018728"," 1.81496368"
"250.076870658724/65.6856733158578"," 0.006715471"," 0.767943515"," 1.109737895"," 0.616842740"," 0.975333108","-1.524564887","-1.240378008","-0.242963702","-1.187023677"," 0.718357544"
