"","DW_20180105_014","DW_20180105_038","DW_20180105_062","DW_20180105_098","DW_20180105_122","DW_20180105_020","DW_20180105_044","DW_20180105_068","DW_20180105_104","DW_20180105_128"
"Label","n2","n2","n2","n2","n2","swip10","swip10","swip10","swip10","swip10"
"115.56897041856/255.091462837897","2484661.333","2348050.333","1831394.333","2624447.333","1657708.333","376658","2152746.667","2603591","2991087.333","3229243.333"
"116.035358872812/22.9484443814533","386120.6667","295925.6667","473151.6667","254809","428306","824873","228681.6667","314089","257282.6667","254842.6667"
"116.071758781299/24.7419079826397","3477931.667","4202878.667","4093394.667","3405190.333","4956702","7579707.667","5459895.333","5205936.333","5105267.667","5289842.333"
"116.254876751331/230.097946421141","3646893","3107463","1716921.333","2995131","2157113","497020.3333","16302131","4071316","2953263.333","2669747.333"
"116.254985092632/177.85869346953","418676","314011.6667","295643","282756","358546","527742.6667","14244520","704346","550126","596423.6667"
"116.458485713076/288.938728908439","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","541027","23393.25","11696.625","5848.3125","5848.3125"
"116.599768109086/248.872532584793","2807306.667","2955929.333","2008058.333","2643606.333","1096725","709124","4622155.333","2404993.667","3447906.333","2278601.333"
"116.599822616521/192.872042344581","2432049","3511501","2197832.667","2551651","3125000.333","1811873","835813.6667","367000.3333","1947075","2637369.667"
"116.634774101287/225.954982894102","2924.15625","1462.078125","1462.078125","1462.078125","2537209","46786.5","23393.25","11696.625","2107373.333","5848.3125"
"116.637491571301/226.824030103429","2924.15625","1462.078125","1462.078125","1844617","3962678","46786.5","23393.25","11696.625","3598332.5","5848.3125"
"116.777657443084/162.346642275534","2924.15625","1462.078125","1462.078125","1462.078125","511192.5","46786.5","23393.25","11696.625","1095282.333","5848.3125"
"116.784771249828/64.999649356525","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","1660774.5","23393.25","11696.625","5848.3125","5848.3125"
"116.811954306927/200.466316116825","502527.5","289024.5","1462.078125","1462.078125","874701","46786.5","23393.25","11696.625","230490","124302.5"
"116.824791158687/198.437238502657","2924.15625","1462.078125","473189","1462.078125","731.0390625","519151","166152","11696.625","1114669","143016.5"
"116.829447059388/154.735423262498","2924.15625","235723","1462.078125","74092.5","249634.5","46786.5","23393.25","269370.5","232741.5","5848.3125"
"116.843889926052/218.69677009586","2924.15625","829345","179478","1462.078125","731.0390625","140288","434289","178931","5848.3125","736915.5"
"116.862754389316/49.0043879824535","2705831","3019060","1462.078125","1462.078125","731.0390625","1730296.667","23393.25","11696.625","2495943.5","5848.3125"
"116.86407392394/240.44911931747","49136","1462.078125","1462.078125","1462.078125","731.0390625","46786.5","23393.25","1028789.667","5848.3125","5848.3125"
"116.869809312248/64.9202448092955","2924.15625","1462.078125","1462.078125","1462.078125","1824133","46786.5","23393.25","11696.625","742064.5","5848.3125"
"116.876349527717/31.344360518282","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","46786.5","23393.25","11696.625","5848.3125","3035893.5"
"116.876482741743/260.34695134355","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","46786.5","23393.25","11696.625","1500509.5","850447"
"116.888105178223/254.686028160311","2924.15625","2961226.5","3465161","1462.078125","731.0390625","613843","2630414","2989564.5","5848.3125","1775927.5"
"116.899441102722/256.158783692092","3822336.5","3757131.5","2459424.667","3136220.5","731.0390625","326680.3333","23393.25","11696.625","5631098.5","3855201.333"
"116.920637483542/252.559819440888","4598353.667","7083016.667","6026170.667","10079451.33","9033952.333","1423606.333","13812910.67","5393891","10972538.33","6461444"
"116.923722890115/232.98357077937","2924.15625","2303059.333","1462.078125","5359737","4471603.5","1919191.5","12144720","11696.625","6790917.5","5848.3125"
"117.09175456364/244.659930190768","2924.15625","851571","3735932","1484578.5","900023","579461","23393.25","1553833.5","5848.3125","5848.3125"
"117.09635010737/25.0793210254263","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","6486386","23393.25","11696.625","5848.3125","7482383.5"
"117.121672801344/226.550646487468","709241.5","341052.5","1462.078125","627231","731.0390625","749189.6667","124027","11696.625","5848.3125","332697.5"
"117.122246964261/53.4588242238186","2924.15625","1462.078125","1462.078125","1774631","731.0390625","1398584","23393.25","2395564.5","5848.3125","91154.5"
"117.1294053091/26.807371292908","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","46786.5","23393.25","11696.625","5848.3125","8579059"
"117.152373223962/254.317686245634","572255.5","1462.078125","1462.078125","1462.078125","731.0390625","121950.5","23393.25","11696.625","5848.3125","496636.5"
"117.154118474833/37.6940339931793","2339425","2909808","1462.078125","700396","3532923.5","46786.5","23393.25","3923596.5","5848.3125","3522033"
