"","DW_20180105_014","DW_20180105_038","DW_20180105_062","DW_20180105_098","DW_20180105_122","DW_20180105_020","DW_20180105_044","DW_20180105_068","DW_20180105_104","DW_20180105_128"
"Label","n2","n2","n2","n2","n2","swip10","swip10","swip10","swip10","swip10"
"278.930243044576/166.150079039954"," 0.25184059","-0.08551189","-1.71875314"," 0.97899347"," 0.39776948"," 0.35306934","-0.90190050"," 0.53205976","-1.24892624"," 1.44135912"
"279.147340437898/237.34522596337"," 0.37912499","-0.02645449"," 0.92550857"," 1.23547302"," 1.46926819","-1.02083219","-0.55900200","-1.63111668","-0.36643925","-0.40553017"
"279.163665206919/151.924646614774"," 0.95556131","-0.10972289"," 0.69898041","-2.16441960","-0.06868195"," 0.47522543"," 1.29462335","-0.89140702","-0.39697758"," 0.20681854"
"279.224064565741/223.817086322451"," 0.04158896"," 0.02502564"," 0.80892303"," 0.60197426"," 0.91701409","-1.61019891"," 1.19282328","-1.53065450","-0.80713550"," 0.36063962"
"279.233023624045/241.46671261276"," 0.6858880"," 0.6858880","-0.1426685"," 1.1235322"," 1.0100659"," 0.6858880","-1.9391636","-0.5976747","-0.6429877","-0.8687677"
"279.319107403539/237.479203640773"," 0.3777088"," 0.2118514"," 0.9985546"," 1.0789826"," 1.3795217","-1.7015317","-0.2085144","-1.1361509","-0.5953708","-0.4050513"
"279.938239873647/34.0465416103691","-1.1499539","-1.1499539"," 0.7950343"," 1.0086183","-1.1499539","-1.1499539"," 0.9563753"," 0.5501091"," 0.7227000"," 0.5669786"
"280.167079309415/157.507189936453"," 0.724476488"," 0.002288714"," 1.007037319","-1.177931040","-1.177931040","-0.792031680"," 1.390493700","-1.177931040"," 0.511833293"," 0.689695283"
"280.236359436789/235.472832915817"," 0.7263944713"," 0.5887724038"," 0.1586364435"," 1.1572774151"," 1.0630603263"," 0.0001688723","-2.2120537153","-0.5537918934","-0.4529581824","-0.4755061411"
"280.935082513761/30.2855013156904"," 0.58408349","-1.80874467"," 0.31988573","-1.80874467"," 0.64022215"," 1.13017886"," 0.19897842"," 0.09341203"," 0.14346566"," 0.50726300"
"281.107947331379/180.599818660511"," 0.89516493","-1.07446392","-1.03074286"," 0.13596782"," 0.05235615"," 2.01937892"," 0.66999539","-0.46145681","-0.10643010","-1.09976951"
"281.161576683851/252.38475766171"," 0.4172750"," 0.5594048"," 0.3623941"," 1.2805921"," 0.8477059","-0.6343409"," 0.8018595","-1.7960134","-1.0945544","-0.7443228"
