"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"112.656409289499/28.5274672532853",0.023608,0.020123,0.018787,0.0031524,0.013626,-0.025883,0.010758,-0.007529,0.0042892,-0.0029813
"112.66507137573/151.34435197857",0.012216,0.0035909,-0.020534,0.012879,0.0019119,0.0096876,-0.039874,-0.021758,0.034674,-0.006758
"112.885081752097/216.547142943466",0.015199,0.0067782,0.013476,0.0060795,-0.0050648,-0.0070539,-0.014674,0.058421,0.016562,-0.0054044
"112.978080298298/80.560835925108",0.025413,-0.019957,-0.025474,-0.0079282,-0.0021704,-0.0049927,0.0079805,0.012309,-0.0010757,0.0019047
"112.978117682023/32.9287080233008",0.0083899,-0.016276,-0.042768,0.0030302,0.00092594,-0.011291,0.010439,0.0021575,0.0088548,0.0040461
"112.993258164964/47.3949120385474",0.0030259,-0.017521,-0.042915,0.0025123,0.0062776,-0.01384,0.0087001,0.00063721,0.0088247,0.0012692
"113.060884045039/163.578749021689",-0.0094599,-0.0042042,-0.025943,-0.0077778,-0.025787,-0.044973,-0.0061847,0.0046357,0.0031136,-0.0012892
"113.215780982977/236.788565038181",0.020333,0.029454,0.0084441,0.0026877,-0.014156,-0.014701,0.00096845,0.018602,0.014872,0.0050177
"113.880369465047/244.864836574737",0.015293,0.024624,-0.020477,0.0017399,-0.031274,-0.0055498,-0.015565,-0.012789,0.0052725,0.014802
"113.880397044558/207.083183339988",-0.011311,0.030225,0.01735,0.0035699,-0.016141,0.00063833,-0.020238,0.014341,0.022658,-0.0017922
"114.056060491552/34.4450635350586",0.024143,-0.0038402,0.023374,0.0066611,0.022618,0.026052,-0.016688,0.0017487,-0.0061822,-0.0027467
"114.215284783876/217.847529978441",0.0022277,0.015767,0.02491,-0.012155,0.00031321,-0.0092769,0.049324,-5.1111e-05,0.0042362,0.0019625
"114.551304179585/242.207942103015",0.0071397,0.030428,0.0036982,0.0056524,-0.035714,0.0063053,-0.017802,0.0091055,-0.014597,-0.0040577
"114.551351112801/190.413996441114",0.0085641,0.025086,-0.011743,-0.013807,-0.011107,-0.022292,-0.0057028,0.033076,0.029282,0.0079524
"114.707658795678/117.001572278666",-0.012323,0.0047444,-0.015919,0.0033856,-0.015243,-0.052875,-0.0044327,-0.0065404,-0.018694,-0.0041409
"114.888855840258/232.083364121088",0.012859,0.018488,-0.004724,0.0019536,-0.035169,-0.00472,0.0080856,0.015366,-0.043174,0.0053169
"115.00366446847/245.708038910315",0.02319,-0.018191,-0.022865,0.0078585,0.017974,-0.02129,-0.0061426,-0.005434,0.0097475,-0.0087061
"115.003686455006/27.5592300611826",-0.012596,0.034692,-0.0082161,-0.019819,0.014813,0.0082083,-0.0095236,0.0068139,-0.0038527,-0.0045328
"115.228086255613/229.22112298718",0.023749,-0.010201,-0.0083037,-0.0097846,-0.018505,-0.017478,-0.022808,0.025589,0.024452,-0.0039288
"115.56897041856/255.091462837897",0.014742,0.029198,-0.00058508,0.00068856,-0.032955,0.00055755,-0.019119,-0.0038775,0.012948,-0.0021618
"116.035358872812/22.9484443814533",-0.011273,-0.01438,-0.0012,0.0026047,0.048458,0.01456,0.013667,0.027532,-0.00213,-0.0012771
"116.071758781299/24.7419079826397",-0.019764,-0.026073,0.013692,0.009891,0.013319,-0.0096705,0.018438,0.010268,-0.022686,-0.002683
"116.254876751331/230.097946421141",0.02182,0.010565,-0.027026,-0.0043662,-0.030104,-0.012761,-0.0079644,0.0052979,0.013057,-0.0069726
"116.254985092632/177.85869346953",0.025713,-0.020606,-0.022601,0.0044837,0.0015957,-0.014275,0.007647,0.010444,0.0070949,0.0019024
"116.458485713076/288.938728908439",-0.019211,-0.031067,0.0079816,0.0030849,0.023605,0.00099869,0.013821,-0.00098641,-0.0029644,0.00252
"116.599768109086/248.872532584793",0.016367,0.011754,-0.015217,-0.010009,-0.032247,-0.0019929,-0.03456,-0.01414,0.018454,0.0047725
"116.599822616521/192.872042344581",-0.017456,0.01613,-0.0088452,0.032202,0.019295,0.021727,-0.014808,-0.023738,-0.0041476,-0.0096286
"116.634774101287/225.954982894102",-0.00029244,0.015568,0.0080965,0.027914,0.014628,-0.040061,-0.012581,0.009517,-0.031408,-0.0051889
"116.637491571301/226.824030103429",-0.005487,0.022245,0.0063603,0.019713,0.01282,-0.046391,-0.0036991,-0.017082,-0.00018171,0.010648
"116.777657443084/162.346642275534",0.000681,0.013636,0.010179,0.026746,0.013496,-0.041153,-0.018457,0.0064018,-0.030119,0.00061345
"116.784771249828/64.999649356525",-0.019211,-0.031067,0.0079816,0.0030849,0.023605,0.00099869,0.013821,-0.00098641,-0.0029644,0.0049293
"116.811954306927/200.466316116825",-0.0084446,0.018207,-0.0037472,0.04194,-0.015574,0.0040905,-0.020736,0.020215,-0.022988,0.0027854
"116.824791158687/198.437238502657",0.016238,-0.021373,0.014421,0.0082274,0.036902,0.0021036,-0.020838,-0.012622,-0.0058622,0.0011494
"116.829447059388/154.735423262498",-0.0070668,0.019472,0.0074722,-0.0060343,-0.022509,-0.038162,0.0030294,-0.0095586,-0.037636,0.0015282
"116.843889926052/218.69677009586",0.020559,-0.0094418,-0.0070656,-0.0090489,-0.013291,0.040475,0.01283,-0.017231,-0.023926,0.0026486
"116.862754389316/49.0043879824535",-0.021616,-0.015446,-0.0030388,0.0078415,-0.0095466,0.0023958,-0.044535,-0.0010556,-0.016421,0.0010703
"116.86407392394/240.44911931747",-0.00029783,-0.0014278,0.012335,-0.031576,-0.035871,-0.0086557,0.0071323,0.043455,0.008205,0.0017255
"116.869809312248/64.9202448092955",-0.0009794,0.016794,0.0065461,0.028484,0.015296,-0.038918,-0.0083016,0.011636,-0.032032,0.0087071
"116.876349527717/31.344360518282",0.013319,-0.00082161,0.020213,0.03625,-0.015011,0.032855,0.014325,-0.0087187,0.010933,-0.0009366
"116.876482741743/260.34695134355",0.014084,-0.0016934,0.02897,0.035032,-0.008325,-0.0037131,-0.025583,-0.01639,-0.002855,0.0068647
"116.888105178223/254.686028160311",0.015382,-0.017308,0.00070473,-0.025151,-0.0066058,0.035437,0.01962,-0.0069073,-0.025574,0.0010615
"116.899441102722/256.158783692092",-0.0092546,0.0068531,0.011688,0.00739,-0.0011376,0.028766,-0.041926,-0.033157,0.018119,-0.0020746
"116.920637483542/252.559819440888",0.015735,0.028148,-0.0156,0.0065249,-0.014813,-0.024377,-0.011496,-0.018218,-0.00078264,-0.0023701
"116.923722890115/232.98357077937",-0.0057701,-0.0046391,-0.02042,0.014778,0.011855,-0.04126,0.0025614,-0.038391,-0.01666,0.014722
"117.09175456364/244.659930190768",-0.014363,0.013252,0.0059563,-0.039028,0.016563,0.0024553,0.031211,-0.010729,-0.0181,-0.00054183
"117.09635010737/25.0793210254263",-0.0049563,-0.02441,0.020937,0.028943,0.0070828,0.024855,0.021095,-0.0071486,0.0057442,-0.00012203
"117.121672801344/226.550646487468",-0.01323,-0.017578,-0.018521,0.017316,-0.01353,0.022602,0.0042179,-0.020831,0.037864,0.0046937
"117.122246964261/53.4588242238186",-0.010385,-0.012722,0.023329,-0.016581,-0.01248,-0.00962,0.036961,-0.012801,0.029395,-0.0082164
"117.1294053091/26.807371292908",0.013319,-0.00082161,0.020213,0.03625,-0.015011,0.032855,0.014325,-0.0087187,0.010933,-0.0009366
"117.152373223962/254.317686245634",-0.0014979,-0.0017714,0.0056249,0.032332,-0.018677,0.035338,-0.011832,0.026401,0.033427,0.00047195
"117.154118474833/37.6940339931793",-0.010076,0.021338,0.00094276,0.010664,-0.044215,0.012416,0.021193,0.015033,-0.00018779,0.0076975
