massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row72	440.8242526	70.61477682	0.00021875	-6.3579	
row73	186.1069232	57.584107	0.00021989	6.353	
row74	222.0972852	52.75230427	0.00022339	6.3383	
row75	204.1174605	64.88049492	0.0002263	6.3263	
row76	238.8941811	136.9500031	0.00023846	6.2777	
row77	182.0813095	50.8760616	0.00024807	6.2412	
row78	188.1757789	77.39580777	0.00025383	6.22	
row79	168.0905645	46.92353382	0.00027084	6.1606	
row80	690.389908	69.5701737	0.00027286	6.1538	
row81	246.1700818	29.67618508	0.00027968	6.1313	
row82	950.5521725	42.30835887	0.00029266	-6.0901	
row83	774.5974748	40.87331476	0.00030346	6.0573	
row84	183.0331266	75.36446648	0.00031587	6.0212	
row85	118.1098487	56.34631745	0.00031905	6.0121	
row86	861.4935461	42.1313021	0.00034705	-5.9369	
row87	549.8322216	42.28572351	0.00035357	-5.9203	
row88	173.0210125	263.0172404	0.00035413	5.9189	
row89	206.1006341	47.60707327	0.00035947	5.9056	
row90	348.9419814	138.2205498	0.00036079	5.9023	
row91	163.1157855	66.39365662	0.00036658	5.8882	
row92	167.0128748	126.7273453	0.00036881	5.8829	
row93	685.393183	47.47847979	0.00036988	-5.8803	
row94	188.070687	47.61259449	0.00037122	5.8771	
row95	677.8854867	156.0572909	0.00037482	-5.8686	
row96	729.4190779	48.27643003	0.00037744	-5.8624	
row97	359.8870231	138.3907622	0.00038109	5.8539	
row98	121.0687788	73.27583847	0.00039771	5.8163	
row99	509.2871649	51.9530739	0.00042907	-5.7498	
row100	203.1140701	61.54124628	0.00044051	5.7269	
row101	167.0833152	48.16937359	0.0004436	5.7209	
row102	275.9597351	283.1671839	0.00046376	-5.6823	
row103	136.0757699	52.63229067	0.0004766	5.6587	
row104	130.0773082	79.69442488	0.00047945	5.6536	
row105	232.0169212	72.15831154	0.00048249	5.6481	
row106	686.3958087	48.75043916	0.00048986	-5.635	
row107	172.4851513	135.2387475	0.000496	5.6243	
row108	182.0671192	47.68202148	0.00050445	5.6098	
row109	730.4218891	47.55978825	0.00051084	-5.599	
row110	147.0438637	64.86460515	0.00051491	5.5922	
row111	133.0319876	60.47693368	0.00054533	5.5432	
row112	169.9825652	139.0451318	0.00054689	5.5407	
row113	794.4661458	53.44710364	0.00056924	-5.5067	
row114	221.034072	61.01619209	0.00057592	5.4968	
row115	116.0342343	84.8914696	0.00059076	5.4753	
row116	166.0580989	57.13205593	0.00061055	5.4474	
row117	131.0491697	47.01039342	0.00063958	5.4084	
row118	290.134544	77.94846841	0.00067352	5.3651	
row119	286.3104304	25.13076351	0.00067382	-5.3648	
row120	536.3709502	40.91990239	0.00069347	5.3408	
row121	189.0738976	48.75586524	0.0007047	5.3274	
row122	817.4652964	46.86843477	0.00070576	-5.3262	
row123	510.3559976	40.8531576	0.00072959	5.2986	
row124	405.9684486	69.47092087	0.00076038	5.2645	
row125	422.2379843	42.21931369	0.00079022	-5.2328	
row126	183.1240454	56.69436647	0.00079823	5.2245	
row127	518.3566867	31.7921028	0.00080085	-5.2218	
row128	800.6135188	37.34164601	0.00082294	5.1995	
row129	193.948338	136.1765484	0.00082602	5.1964	
row130	176.1030798	85.78159895	0.00082835	5.1941	
row131	240.6630471	139.9001185	0.00082948	5.193	
row132	511.2850964	40.17221188	0.00083977	-5.1829	
row133	209.1172608	238.4631168	0.00084126	5.1815	
